title,tagline
The Pirate Bay: Away From Keyboard,
A Coffee in Berlin,
Jack the Giant Slayer,Prepare for a giant adventure
Wadjda,
G.I. Joe: Retaliation,
Stoker,Innocence Ends.
Sound City,That board. That room. That is Sound City.
Oz: The Great and Powerful,"In Oz, nothing is what it seems"
The Croods,Meet the first modern family.
The Incredible Burt Wonderstone,Abracatastic!
Spring Breakers,A little sun can bring out your dark side.
The Call,There are 188 million 911 calls a year. This one made it personal.
Olympus Has Fallen,When our flag falls our nation will rise.
The First Time,Nervous is normal.
The Place Beyond the Pines,If you ride like lightning you're gonna crash like thunder
The Brass Teapot,Everyone Has A Price. What's Yours?
Phil Spector,The truth is somewhere in the mix.
The Host,You will be one of us
Admission,Let someone in.
Trance,Don't be a hero.
The Staircase,Accident or cold-blooded murder?
Oblivion,Earth is a memory worth fighting for
Dark Tide,"In Shark Alley, courage runs deep."
42,The True Story Of An American Legend
Happy,
U2: From the Sky Down,The story of the making of U2's Achtung Baby
Wolf Children,Love wildly
Pain & Gain,Their American dream is bigger than yours.
This Is the End,Nothing ruins a party like the end of the world.
Iron Man 3,Unleash the power behind the armor.
The English Teacher,Refuse To Live Life By The Book
Mud,
Bill Hicks: Revelations,
Legendary Weapons of China,
Pawn,Every move is a game changer
Syrup,It's all about image.
The Woman in the Fifth,"What you can not resist, you may not survive"
The Great Gatsby,Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.
Star Trek Into Darkness,Earth Will Fall
Wish You Were Here,Four Went. Three came back. Only one of them knows what happened.
The Internship,Hiring them was a brilliant mistake.
Stories We Tell,
Ivan Vasilyevich Changes His Profession,
Only God Forgives,Time to Meet The Devil
The Hangover Part III,It all ends.
Fast & Furious 6,All roads lead to this
Epic,Discover a world beyond your imagination
The Past,
The Broken Circle Breakdown,
Frances Ha,
Behind the Candelabra,Too much of a good thing is wonderful
After Earth,"Danger is real, fear is a choice"
Now You See Me,4 amazing magicians. 3 impossible heists. 1 billion dollars. This is no illusion.
Lovelace,The truth goes deeper than you think.
The Way Way Back,We've all been there.
Foxfire,
Man of Steel,You will believe that a man can fly.
The Kings of Summer,Why live when you can rule.
20 Feet from Stardom,
The Bling Ring,"Living the Dream, One Heist at a Time"
Monsters University,School never looked this scary.
Fullmetal Alchemist: The Sacred Star of Milos,Finally tell the story of forbidden bonds
Not Suitable For Children,He never wanted to have kids until life kicked him where it counts
Pacific Rim,"To Fight Monsters, We Created Monsters"
The Best Offer,A Master of Possession. A Crime of Obsession
World War Z,Remember Philly!
Elysium,He can save us all.
What Maisie Knew,Based on the novel by Henry James
American Mary,Appearances are everything
Despicable Me 2,Back 2 Work
White House Down,It will start like any other day.
The World's End,Good food. Fine ales. Total Annihilation.
The Heat,Action's never been so hot!
The Lone Ranger,Never Take Off the Mask
Woody Allen: A Documentary,Comedy is easy. Dying is hard.
Passion,No backstabbing. Just business
The Knot,One Wedding... And Another Wedding... But Absolutely No Funerals
The Spectacular Now,From the Writers of (500) Days of Summer
The Lifeguard,This Summer Growing Up is Optional
Sharknado,Enough said!
Fruitvale Station,Every step brings you closer to the edge
R.I.P.D.,To protect and serve the living
Justice League: The Flashpoint Paradox,Fight the future.
Joker,
The Conjuring,Based on the true case files of the Warrens
An Angel Named Billy,
Turbo,SLO NO MO
The Wolverine,"When he's most vulnerable, he's most dangerous."
Drinking Buddies,A comedy about knowing when to say when.
RED 2,The best never rest.
Miami Connection,Greetings from the most dangerous jungle in the world: the streets of Miami.
Coffee Town,
Revenge for Jolly!,"Dog's Best Friend, Man's Worst Enemy"
2 Guns,"2 Guns, 1 Bank."
Blue Jasmine,Blue Moon. I used to know the words. Now they're all a jumble.
The Great Beauty,
Louis C.K.: Oh My God,
Percy Jackson: Sea of Monsters,"Where There Are Gods, There Are Monsters."
The Smurfs 2,Get ready to get naughty!
Alan Partridge: Alpha Papa,12 hostages. 24 hours. 1 Partridge.
The Forsyte Saga,
Man of Tai Chi,No Rules. No Mercy. Pure Fighting.
We're the Millers,-If anyone asks.
Grown Ups 2,Just because they're a little older doesn't mean they've grown up.
Kick-Ass 2,You Can't Fight Your Destiny.
Riddick,Survival Is His Revenge
Planes,From above the world of Cars
Blackfish,Never capture what you can't control.
The Wind Rises,We must live.
Jobs,"Some see what's possible, others change what's possible."
The Mortal Instruments: City of Bones,You have been chosen
Touchy Feely,A self-improved comedy
The Butler,One quiet voice can ignite a revolution.
In a World...,Speak up and let your voice be heard
About Time,What if every moment in life came with a second chance?
Justice League: Crisis on Two Earths,"When Justice meets its match, worlds collide."
The Frozen Ground,The hunter becomes the hunted
You're Next,Did You Remember To Lock Your Door?
Tidal Wave,
Family Band: The Cowsills Story,Talent and charm. Secrets and fear.
The Chicago 8,A true story based on the most infamous court case in America's history
The First Nudie Musical,The Ultimate Take-Off
Koch,
Evocateur: The Morton Downey Jr. Movie,
Getaway,Get in. Get out. Getaway.
Gravity,Don't Let Go
What If,...being friends has its benefits?
Prisoners,Every moment matters.
Out of the Furnace,Sometimes your battles choose you.
Austenland,
Rush,Everyone's driven by something.
The Family,Some call it organized crime. Others call it family.
Short Term 12,Support them. Take care of them. But don't become their friend.
The To Do List,She's going from straight A's to getting her first F.
Inescapable,You can never escape your past
Nebraska,Life's not about winning or losing. It's about how you get there in the end.
Enough Said,
Don Jon,Everyone loves a happy ending.
Mood Indigo,
Crystal Fairy & the Magical Cactus,
Runner Runner,The house always wins.
Blue Is the Warmest Color,Lover Just Know Love!
Inequality for All,
Cloudy with a Chance of Meatballs 2,Something big was leftover.
Captain Phillips,Out here survival is everything.
Machete Kills,Trained to kill. Left for dead. Back for more.
Filth,"It's a filthy job getting to the top, but someone's got to do it."
Just Wright,In this game every shot counts.
Carrie,Know her name. Fear her power.
The Counselor,Sin Is A Choice.
Bloodsucking Freaks,Join The Fun!… Human Dart Boards… “Home Style Brain Surgery”… Dental Hijinks!
The Congress,
The Congress,
12 Years a Slave,The extraordinary true story of Solomon Northup
All Is Lost,Never give up.
Ender's Game,This is not a game.
Maniac,Stalks his wife... his daughter... their lover!
The Blue Umbrella,
Toy Story of Terror!,One toy gets left behind!
Bad Grandpa,Real people. Real reactions. Real messed up.
Thor: The Dark World,Delve into the darkness
Dallas Buyers Club,Sometimes it takes a hustler to change the world
Marc Maron: Thinky Pain,
The Selfish Giant,
Pieta,
Somm,How much do you know about wine?
Last Vegas,It's going to be legendary
Muscle Shoals,The incredible true story of a small town with a big sound.
Stephen Tobolowsky's Birthday Party,If you celebrate only one birthday this year... make sure it's Stephen Tobolowsky's
Absent,
Philomena,These two unlikely companions are on a journey to find her long lost son.
The Book Thief,Courage beyond words.
Ida,
One Piece Film Strong World,
One Piece Film Z,
The Hunger Games: Catching Fire,Every revolution begins with a spark.
The Hobbit: The Desolation of Smaug,Beyond darkness... beyond desolation... lies the greatest danger of all.
47 Ronin,For courage. For loyalty. For honor.
Delivery Man,You're never quite ready for what life delivers.
Charlie Countryman,"The only way to save the one you love, is to die."
Frozen,Only the act of true love will thaw a frozen heart.
Trigun: Badlands Rumble,
Inside Llewyn Davis,
The Wolf of Wall Street,EARN. SPEND. PARTY.
Mandela: Long Walk to Freedom,It is an ideal for which I am prepared to die.
Grave Encounters 2,Fear is just a word. Reality is much worse.
Evangelion: 3.0 You Can (Not) Redo,
All Is Bright,All is busted. All is broke. All is bitter. All is BRIGHT.
American Hustle,Everyone Hustles To Survive
The Secret Life of Walter Mitty,"Stop Dreaming, Start Living"
Her,A Spike Jonze Love Story
Six by Sondheim,
Dead Set,
Lone Survivor,Based on True Acts of Courage
Zatôichi on the Road,
Geography Club,They formed a club they thought nobody would join...
Saving Mr. Banks,"Where her book ended, their story began."
Oldboy,Ask not why you were imprisoned. Ask why you were set free.
Anchorman 2: The Legend Continues,It's kind of a big deal
Moms Mabley: I Got Somethin' to Tell You,
Snowpiercer,"AD 2031, the passengers in the train are the only survivors on Earth."
"Kidnapping, Caucasian Style",
Wrong Cops,
Punk's Dead: SLC Punk 2,A young punk's odyssey.
Fireworks Wednesday,
Death of a Superhero,When time is precious living can't wait
Springsteen & I,A documentary project on Bruce Springsteen made by the people and for the people!
Borgman,
Grudge Match,DeNiro vs Stallone
Paranormal Activity: The Marked Ones,You're one of us now.
Only Lovers Left Alive,
I Know That Voice,A documentary that puts a face to the voices we all know and love
Bad Karma,
Dragon Ball Z: Battle of Gods,
"Like Father, Like Son",
Dragon Ball Z: Lord Slug,
The Other Shore,
Dragon Ball: The Path to Power,
Ride Along,Propose to this cop's sister? Rookie mistake.
Jack Ryan: Shadow Recruit,Trust no one.
Divergent,What makes you different makes you dangerous.
Hotel Chevalier,
Atrocious,A local legend becomes a terrifying reality
Dark Touch,
Yeh Jawaani Hai Deewani,
The String,
Drift,Two Brothers. One Dream. No Rules.
"I, Frankenstein","In the battle between good and evil, an immortal holds the key"
Generation Kill,The New Face Of American War
Better Living Through Chemistry,Happiness has no formula.
Enemy,You can’t escape Yourself!
Wonder Woman,Courageous princess. Fierce warrior. Legendary superhero.
"Same Love, Same Rain",
The Monuments Men,It was the greatest art heist in history
The Lego Movie,The story of a nobody who saved everybody.
RoboCop,We've got the future under control.
The Art of the Steal,It takes a great artist to pull off the perfect con
Nymphomaniac: Vol. II,Forget About Love
Knights of Badassdom,'Tis about to get medieval up in here.
The Four,
Venus in Fur,
Date and Switch,Love's all about finding the right combination.
The Zero Theorem,Nothing is Everything
Winter's Tale,This is not a true story. This is true love.
No Nukes,
The Journey,
Cold Comes the Night,Sometimes the fight of your life comes in the dead of night.
Someone Marry Barry,
Gerontophilia,Gerontophilia [jə-ˌrän-tō-ˈfil-ē-ə] noun - the love or sexual preference for the elderly.
About Last Night,It's about compromise. It's about love. It's about a good wingman.
The Grand Budapest Hotel,A perfect holiday without leaving home.
That Awkward Moment,When you realize getting some means wanting more.
Interstellar,Mankind was born on Earth. It was never meant to die here.
Welcome to the Jungle,Unleash your inner beast!
Non-Stop,The hijacking was just the beginning.
300: Rise of an Empire,Seize your glory!
Particle Fever,"With one switch, everything changes."
Obvious Child,
Cheap Thrills,Get ready for the night of your life
Mr. Peabody & Sherman,He's Leaving His Mark On History
